phase	stat	value	how
jar_adjustable_missiles__ability_phase__accuracy__-63	stat_accuracy	-63	add
jar_adjustable_missiles__ability_phase__accuracy__-62	stat_accuracy	-62	add
jar_adjustable_missiles__ability_phase__accuracy__-61	stat_accuracy	-61	add
jar_adjustable_missiles__ability_phase__accuracy__-60	stat_accuracy	-60	add
jar_adjustable_missiles__ability_phase__accuracy__-59	stat_accuracy	-59	add
jar_adjustable_missiles__ability_phase__accuracy__-58	stat_accuracy	-58	add
jar_adjustable_missiles__ability_phase__accuracy__-57	stat_accuracy	-57	add
jar_adjustable_missiles__ability_phase__accuracy__-56	stat_accuracy	-56	add
jar_adjustable_missiles__ability_phase__accuracy__-55	stat_accuracy	-55	add
jar_adjustable_missiles__ability_phase__accuracy__-54	stat_accuracy	-54	add
jar_adjustable_missiles__ability_phase__accuracy__-53	stat_accuracy	-53	add
jar_adjustable_missiles__ability_phase__accuracy__-52	stat_accuracy	-52	add
jar_adjustable_missiles__ability_phase__accuracy__-51	stat_accuracy	-51	add
jar_adjustable_missiles__ability_phase__accuracy__-50	stat_accuracy	-50	add
jar_adjustable_missiles__ability_phase__accuracy__-49	stat_accuracy	-49	add
jar_adjustable_missiles__ability_phase__accuracy__-48	stat_accuracy	-48	add
jar_adjustable_missiles__ability_phase__accuracy__-47	stat_accuracy	-47	add
jar_adjustable_missiles__ability_phase__accuracy__-46	stat_accuracy	-46	add
jar_adjustable_missiles__ability_phase__accuracy__-45	stat_accuracy	-45	add
jar_adjustable_missiles__ability_phase__accuracy__-44	stat_accuracy	-44	add
jar_adjustable_missiles__ability_phase__accuracy__-43	stat_accuracy	-43	add
jar_adjustable_missiles__ability_phase__accuracy__-42	stat_accuracy	-42	add
jar_adjustable_missiles__ability_phase__accuracy__-41	stat_accuracy	-41	add
jar_adjustable_missiles__ability_phase__accuracy__-40	stat_accuracy	-40	add
jar_adjustable_missiles__ability_phase__accuracy__-39	stat_accuracy	-39	add
jar_adjustable_missiles__ability_phase__accuracy__-38	stat_accuracy	-38	add
jar_adjustable_missiles__ability_phase__accuracy__-37	stat_accuracy	-37	add
jar_adjustable_missiles__ability_phase__accuracy__-36	stat_accuracy	-36	add
jar_adjustable_missiles__ability_phase__accuracy__-35	stat_accuracy	-35	add
jar_adjustable_missiles__ability_phase__accuracy__-34	stat_accuracy	-34	add
jar_adjustable_missiles__ability_phase__accuracy__-33	stat_accuracy	-33	add
jar_adjustable_missiles__ability_phase__accuracy__-32	stat_accuracy	-32	add
jar_adjustable_missiles__ability_phase__accuracy__-31	stat_accuracy	-31	add
jar_adjustable_missiles__ability_phase__accuracy__-30	stat_accuracy	-30	add
jar_adjustable_missiles__ability_phase__accuracy__-29	stat_accuracy	-29	add
jar_adjustable_missiles__ability_phase__accuracy__-28	stat_accuracy	-28	add
jar_adjustable_missiles__ability_phase__accuracy__-27	stat_accuracy	-27	add
jar_adjustable_missiles__ability_phase__accuracy__-26	stat_accuracy	-26	add
jar_adjustable_missiles__ability_phase__accuracy__-25	stat_accuracy	-25	add
jar_adjustable_missiles__ability_phase__accuracy__-24	stat_accuracy	-24	add
jar_adjustable_missiles__ability_phase__accuracy__-23	stat_accuracy	-23	add
jar_adjustable_missiles__ability_phase__accuracy__-22	stat_accuracy	-22	add
jar_adjustable_missiles__ability_phase__accuracy__-21	stat_accuracy	-21	add
jar_adjustable_missiles__ability_phase__accuracy__-20	stat_accuracy	-20	add
jar_adjustable_missiles__ability_phase__accuracy__-19	stat_accuracy	-19	add
jar_adjustable_missiles__ability_phase__accuracy__-18	stat_accuracy	-18	add
jar_adjustable_missiles__ability_phase__accuracy__-17	stat_accuracy	-17	add
jar_adjustable_missiles__ability_phase__accuracy__-16	stat_accuracy	-16	add
jar_adjustable_missiles__ability_phase__accuracy__-15	stat_accuracy	-15	add
jar_adjustable_missiles__ability_phase__accuracy__-14	stat_accuracy	-14	add
jar_adjustable_missiles__ability_phase__accuracy__-13	stat_accuracy	-13	add
jar_adjustable_missiles__ability_phase__accuracy__-12	stat_accuracy	-12	add
jar_adjustable_missiles__ability_phase__accuracy__-11	stat_accuracy	-11	add
jar_adjustable_missiles__ability_phase__accuracy__-10	stat_accuracy	-10	add
jar_adjustable_missiles__ability_phase__accuracy__-9	stat_accuracy	-9	add
jar_adjustable_missiles__ability_phase__accuracy__-8	stat_accuracy	-8	add
jar_adjustable_missiles__ability_phase__accuracy__-7	stat_accuracy	-7	add
jar_adjustable_missiles__ability_phase__accuracy__-6	stat_accuracy	-6	add
jar_adjustable_missiles__ability_phase__accuracy__-5	stat_accuracy	-5	add
jar_adjustable_missiles__ability_phase__accuracy__-4	stat_accuracy	-4	add
jar_adjustable_missiles__ability_phase__accuracy__-3	stat_accuracy	-3	add
jar_adjustable_missiles__ability_phase__accuracy__-2	stat_accuracy	-2	add
jar_adjustable_missiles__ability_phase__accuracy__-1	stat_accuracy	-1	add
jar_adjustable_missiles__ability_phase__accuracy__0	stat_accuracy	0	add
jar_adjustable_missiles__ability_phase__accuracy__+1	stat_accuracy	1	add
jar_adjustable_missiles__ability_phase__accuracy__+2	stat_accuracy	2	add
jar_adjustable_missiles__ability_phase__accuracy__+3	stat_accuracy	3	add
jar_adjustable_missiles__ability_phase__accuracy__+4	stat_accuracy	4	add
jar_adjustable_missiles__ability_phase__accuracy__+5	stat_accuracy	5	add
jar_adjustable_missiles__ability_phase__accuracy__+6	stat_accuracy	6	add
jar_adjustable_missiles__ability_phase__accuracy__+7	stat_accuracy	7	add
jar_adjustable_missiles__ability_phase__accuracy__+8	stat_accuracy	8	add
jar_adjustable_missiles__ability_phase__accuracy__+9	stat_accuracy	9	add
jar_adjustable_missiles__ability_phase__accuracy__+10	stat_accuracy	10	add
jar_adjustable_missiles__ability_phase__accuracy__+11	stat_accuracy	11	add
jar_adjustable_missiles__ability_phase__accuracy__+12	stat_accuracy	12	add
jar_adjustable_missiles__ability_phase__accuracy__+13	stat_accuracy	13	add
jar_adjustable_missiles__ability_phase__accuracy__+14	stat_accuracy	14	add
jar_adjustable_missiles__ability_phase__accuracy__+15	stat_accuracy	15	add
jar_adjustable_missiles__ability_phase__accuracy__+16	stat_accuracy	16	add
jar_adjustable_missiles__ability_phase__accuracy__+17	stat_accuracy	17	add
jar_adjustable_missiles__ability_phase__accuracy__+18	stat_accuracy	18	add
jar_adjustable_missiles__ability_phase__accuracy__+19	stat_accuracy	19	add
jar_adjustable_missiles__ability_phase__accuracy__+20	stat_accuracy	20	add
jar_adjustable_missiles__ability_phase__accuracy__+21	stat_accuracy	21	add
jar_adjustable_missiles__ability_phase__accuracy__+22	stat_accuracy	22	add
jar_adjustable_missiles__ability_phase__accuracy__+23	stat_accuracy	23	add
jar_adjustable_missiles__ability_phase__accuracy__+24	stat_accuracy	24	add
jar_adjustable_missiles__ability_phase__accuracy__+25	stat_accuracy	25	add
jar_adjustable_missiles__ability_phase__accuracy__+26	stat_accuracy	26	add
jar_adjustable_missiles__ability_phase__accuracy__+27	stat_accuracy	27	add
jar_adjustable_missiles__ability_phase__accuracy__+28	stat_accuracy	28	add
jar_adjustable_missiles__ability_phase__accuracy__+29	stat_accuracy	29	add
jar_adjustable_missiles__ability_phase__accuracy__+30	stat_accuracy	30	add
jar_adjustable_missiles__ability_phase__accuracy__+31	stat_accuracy	31	add
jar_adjustable_missiles__ability_phase__accuracy__+32	stat_accuracy	32	add
jar_adjustable_missiles__ability_phase__accuracy__+33	stat_accuracy	33	add
jar_adjustable_missiles__ability_phase__accuracy__+34	stat_accuracy	34	add
jar_adjustable_missiles__ability_phase__accuracy__+35	stat_accuracy	35	add
jar_adjustable_missiles__ability_phase__accuracy__+36	stat_accuracy	36	add
jar_adjustable_missiles__ability_phase__accuracy__+37	stat_accuracy	37	add
jar_adjustable_missiles__ability_phase__accuracy__+38	stat_accuracy	38	add
jar_adjustable_missiles__ability_phase__accuracy__+39	stat_accuracy	39	add
jar_adjustable_missiles__ability_phase__accuracy__+40	stat_accuracy	40	add
jar_adjustable_missiles__ability_phase__accuracy__+41	stat_accuracy	41	add
jar_adjustable_missiles__ability_phase__accuracy__+42	stat_accuracy	42	add
jar_adjustable_missiles__ability_phase__accuracy__+43	stat_accuracy	43	add
jar_adjustable_missiles__ability_phase__accuracy__+44	stat_accuracy	44	add
jar_adjustable_missiles__ability_phase__accuracy__+45	stat_accuracy	45	add
jar_adjustable_missiles__ability_phase__accuracy__+46	stat_accuracy	46	add
jar_adjustable_missiles__ability_phase__accuracy__+47	stat_accuracy	47	add
jar_adjustable_missiles__ability_phase__accuracy__+48	stat_accuracy	48	add
jar_adjustable_missiles__ability_phase__accuracy__+49	stat_accuracy	49	add
jar_adjustable_missiles__ability_phase__accuracy__+50	stat_accuracy	50	add
jar_adjustable_missiles__ability_phase__accuracy__+51	stat_accuracy	51	add
jar_adjustable_missiles__ability_phase__accuracy__+52	stat_accuracy	52	add
jar_adjustable_missiles__ability_phase__accuracy__+53	stat_accuracy	53	add
jar_adjustable_missiles__ability_phase__accuracy__+54	stat_accuracy	54	add
jar_adjustable_missiles__ability_phase__accuracy__+55	stat_accuracy	55	add
jar_adjustable_missiles__ability_phase__accuracy__+56	stat_accuracy	56	add
jar_adjustable_missiles__ability_phase__accuracy__+57	stat_accuracy	57	add
jar_adjustable_missiles__ability_phase__accuracy__+58	stat_accuracy	58	add
jar_adjustable_missiles__ability_phase__accuracy__+59	stat_accuracy	59	add
jar_adjustable_missiles__ability_phase__accuracy__+60	stat_accuracy	60	add
jar_adjustable_missiles__ability_phase__accuracy__+61	stat_accuracy	61	add
jar_adjustable_missiles__ability_phase__accuracy__+62	stat_accuracy	62	add
jar_adjustable_missiles__ability_phase__accuracy__+63	stat_accuracy	63	add
jar_adjustable_missiles__ability_phase__accuracy__+64	stat_accuracy	64	add
jar_adjustable_missiles__ability_phase__accuracy__+65	stat_accuracy	65	add
jar_adjustable_missiles__ability_phase__accuracy__+66	stat_accuracy	66	add
jar_adjustable_missiles__ability_phase__accuracy__+67	stat_accuracy	67	add
jar_adjustable_missiles__ability_phase__accuracy__+68	stat_accuracy	68	add
jar_adjustable_missiles__ability_phase__accuracy__+69	stat_accuracy	69	add
jar_adjustable_missiles__ability_phase__accuracy__+70	stat_accuracy	70	add
jar_adjustable_missiles__ability_phase__accuracy__+71	stat_accuracy	71	add
jar_adjustable_missiles__ability_phase__accuracy__+72	stat_accuracy	72	add
jar_adjustable_missiles__ability_phase__accuracy__+73	stat_accuracy	73	add
jar_adjustable_missiles__ability_phase__accuracy__+74	stat_accuracy	74	add
jar_adjustable_missiles__ability_phase__accuracy__+75	stat_accuracy	75	add
jar_adjustable_missiles__ability_phase__accuracy__+76	stat_accuracy	76	add
jar_adjustable_missiles__ability_phase__accuracy__+77	stat_accuracy	77	add
jar_adjustable_missiles__ability_phase__accuracy__+78	stat_accuracy	78	add
jar_adjustable_missiles__ability_phase__accuracy__+79	stat_accuracy	79	add
jar_adjustable_missiles__ability_phase__accuracy__+80	stat_accuracy	80	add
jar_adjustable_missiles__ability_phase__accuracy__+81	stat_accuracy	81	add
jar_adjustable_missiles__ability_phase__accuracy__+82	stat_accuracy	82	add
jar_adjustable_missiles__ability_phase__accuracy__+83	stat_accuracy	83	add
jar_adjustable_missiles__ability_phase__accuracy__+84	stat_accuracy	84	add
jar_adjustable_missiles__ability_phase__accuracy__+85	stat_accuracy	85	add
jar_adjustable_missiles__ability_phase__accuracy__+86	stat_accuracy	86	add
jar_adjustable_missiles__ability_phase__accuracy__+87	stat_accuracy	87	add
jar_adjustable_missiles__ability_phase__accuracy__+88	stat_accuracy	88	add
jar_adjustable_missiles__ability_phase__accuracy__+89	stat_accuracy	89	add
jar_adjustable_missiles__ability_phase__accuracy__+90	stat_accuracy	90	add
jar_adjustable_missiles__ability_phase__accuracy__+91	stat_accuracy	91	add
jar_adjustable_missiles__ability_phase__accuracy__+92	stat_accuracy	92	add
jar_adjustable_missiles__ability_phase__accuracy__+93	stat_accuracy	93	add
jar_adjustable_missiles__ability_phase__accuracy__+94	stat_accuracy	94	add
jar_adjustable_missiles__ability_phase__accuracy__+95	stat_accuracy	95	add
jar_adjustable_missiles__ability_phase__accuracy__+96	stat_accuracy	96	add
jar_adjustable_missiles__ability_phase__accuracy__+97	stat_accuracy	97	add
jar_adjustable_missiles__ability_phase__accuracy__+98	stat_accuracy	98	add
jar_adjustable_missiles__ability_phase__accuracy__+99	stat_accuracy	99	add
jar_adjustable_missiles__ability_phase__accuracy__+100	stat_accuracy	100	add
jar_adjustable_missiles__ability_phase__accuracy__+101	stat_accuracy	101	add
jar_adjustable_missiles__ability_phase__accuracy__+102	stat_accuracy	102	add
jar_adjustable_missiles__ability_phase__accuracy__+103	stat_accuracy	103	add
jar_adjustable_missiles__ability_phase__accuracy__+104	stat_accuracy	104	add
jar_adjustable_missiles__ability_phase__accuracy__+105	stat_accuracy	105	add
jar_adjustable_missiles__ability_phase__accuracy__+106	stat_accuracy	106	add
jar_adjustable_missiles__ability_phase__accuracy__+107	stat_accuracy	107	add
jar_adjustable_missiles__ability_phase__accuracy__+108	stat_accuracy	108	add
jar_adjustable_missiles__ability_phase__accuracy__+109	stat_accuracy	109	add
jar_adjustable_missiles__ability_phase__accuracy__+110	stat_accuracy	110	add
jar_adjustable_missiles__ability_phase__accuracy__+111	stat_accuracy	111	add
jar_adjustable_missiles__ability_phase__accuracy__+112	stat_accuracy	112	add
jar_adjustable_missiles__ability_phase__accuracy__+113	stat_accuracy	113	add
jar_adjustable_missiles__ability_phase__accuracy__+114	stat_accuracy	114	add
jar_adjustable_missiles__ability_phase__accuracy__+115	stat_accuracy	115	add
jar_adjustable_missiles__ability_phase__accuracy__+116	stat_accuracy	116	add
jar_adjustable_missiles__ability_phase__accuracy__+117	stat_accuracy	117	add
jar_adjustable_missiles__ability_phase__accuracy__+118	stat_accuracy	118	add
jar_adjustable_missiles__ability_phase__accuracy__+119	stat_accuracy	119	add
jar_adjustable_missiles__ability_phase__accuracy__+120	stat_accuracy	120	add
jar_adjustable_missiles__ability_phase__accuracy__+121	stat_accuracy	121	add
jar_adjustable_missiles__ability_phase__accuracy__+122	stat_accuracy	122	add
jar_adjustable_missiles__ability_phase__accuracy__+123	stat_accuracy	123	add
jar_adjustable_missiles__ability_phase__accuracy__+124	stat_accuracy	124	add
jar_adjustable_missiles__ability_phase__accuracy__+125	stat_accuracy	125	add
jar_adjustable_missiles__ability_phase__accuracy__+126	stat_accuracy	126	add
jar_adjustable_missiles__ability_phase__accuracy__+127	stat_accuracy	127	add
jar_adjustable_missiles__ability_phase__accuracy__+128	stat_accuracy	128	add
jar_adjustable_missiles__ability_phase__accuracy__+129	stat_accuracy	129	add
jar_adjustable_missiles__ability_phase__accuracy__+130	stat_accuracy	130	add
jar_adjustable_missiles__ability_phase__accuracy__+131	stat_accuracy	131	add
jar_adjustable_missiles__ability_phase__accuracy__+132	stat_accuracy	132	add
jar_adjustable_missiles__ability_phase__accuracy__+133	stat_accuracy	133	add
jar_adjustable_missiles__ability_phase__accuracy__+134	stat_accuracy	134	add
jar_adjustable_missiles__ability_phase__accuracy__+135	stat_accuracy	135	add
jar_adjustable_missiles__ability_phase__accuracy__+136	stat_accuracy	136	add
jar_adjustable_missiles__ability_phase__accuracy__+137	stat_accuracy	137	add
jar_adjustable_missiles__ability_phase__accuracy__+138	stat_accuracy	138	add
jar_adjustable_missiles__ability_phase__accuracy__+139	stat_accuracy	139	add
jar_adjustable_missiles__ability_phase__accuracy__+140	stat_accuracy	140	add
jar_adjustable_missiles__ability_phase__accuracy__+141	stat_accuracy	141	add
jar_adjustable_missiles__ability_phase__accuracy__+142	stat_accuracy	142	add
jar_adjustable_missiles__ability_phase__accuracy__+143	stat_accuracy	143	add
jar_adjustable_missiles__ability_phase__accuracy__+144	stat_accuracy	144	add
jar_adjustable_missiles__ability_phase__accuracy__+145	stat_accuracy	145	add
jar_adjustable_missiles__ability_phase__accuracy__+146	stat_accuracy	146	add
jar_adjustable_missiles__ability_phase__accuracy__+147	stat_accuracy	147	add
jar_adjustable_missiles__ability_phase__accuracy__+148	stat_accuracy	148	add
jar_adjustable_missiles__ability_phase__accuracy__+149	stat_accuracy	149	add
jar_adjustable_missiles__ability_phase__accuracy__+150	stat_accuracy	150	add
jar_adjustable_missiles__ability_phase__accuracy__+151	stat_accuracy	151	add
jar_adjustable_missiles__ability_phase__accuracy__+152	stat_accuracy	152	add
jar_adjustable_missiles__ability_phase__accuracy__+153	stat_accuracy	153	add
jar_adjustable_missiles__ability_phase__accuracy__+154	stat_accuracy	154	add
jar_adjustable_missiles__ability_phase__accuracy__+155	stat_accuracy	155	add
jar_adjustable_missiles__ability_phase__accuracy__+156	stat_accuracy	156	add
jar_adjustable_missiles__ability_phase__accuracy__+157	stat_accuracy	157	add
jar_adjustable_missiles__ability_phase__accuracy__+158	stat_accuracy	158	add
jar_adjustable_missiles__ability_phase__accuracy__+159	stat_accuracy	159	add
jar_adjustable_missiles__ability_phase__accuracy__+160	stat_accuracy	160	add
jar_adjustable_missiles__ability_phase__accuracy__+161	stat_accuracy	161	add
jar_adjustable_missiles__ability_phase__accuracy__+162	stat_accuracy	162	add
jar_adjustable_missiles__ability_phase__accuracy__+163	stat_accuracy	163	add
jar_adjustable_missiles__ability_phase__accuracy__+164	stat_accuracy	164	add
jar_adjustable_missiles__ability_phase__accuracy__+165	stat_accuracy	165	add
jar_adjustable_missiles__ability_phase__accuracy__+166	stat_accuracy	166	add
jar_adjustable_missiles__ability_phase__accuracy__+167	stat_accuracy	167	add
jar_adjustable_missiles__ability_phase__accuracy__+168	stat_accuracy	168	add
jar_adjustable_missiles__ability_phase__accuracy__+169	stat_accuracy	169	add
jar_adjustable_missiles__ability_phase__accuracy__+170	stat_accuracy	170	add
jar_adjustable_missiles__ability_phase__accuracy__+171	stat_accuracy	171	add
jar_adjustable_missiles__ability_phase__accuracy__+172	stat_accuracy	172	add
jar_adjustable_missiles__ability_phase__accuracy__+173	stat_accuracy	173	add
jar_adjustable_missiles__ability_phase__accuracy__+174	stat_accuracy	174	add
jar_adjustable_missiles__ability_phase__accuracy__+175	stat_accuracy	175	add
jar_adjustable_missiles__ability_phase__accuracy__+176	stat_accuracy	176	add
jar_adjustable_missiles__ability_phase__accuracy__+177	stat_accuracy	177	add
jar_adjustable_missiles__ability_phase__accuracy__+178	stat_accuracy	178	add
jar_adjustable_missiles__ability_phase__accuracy__+179	stat_accuracy	179	add
jar_adjustable_missiles__ability_phase__accuracy__+180	stat_accuracy	180	add
jar_adjustable_missiles__ability_phase__accuracy__+181	stat_accuracy	181	add
jar_adjustable_missiles__ability_phase__accuracy__+182	stat_accuracy	182	add
jar_adjustable_missiles__ability_phase__accuracy__+183	stat_accuracy	183	add
jar_adjustable_missiles__ability_phase__accuracy__+184	stat_accuracy	184	add
jar_adjustable_missiles__ability_phase__accuracy__+185	stat_accuracy	185	add
jar_adjustable_missiles__ability_phase__accuracy__+186	stat_accuracy	186	add
jar_adjustable_missiles__ability_phase__accuracy__+187	stat_accuracy	187	add
jar_adjustable_missiles__ability_phase__accuracy__+188	stat_accuracy	188	add
jar_adjustable_missiles__ability_phase__accuracy__+189	stat_accuracy	189	add
jar_adjustable_missiles__ability_phase__accuracy__+190	stat_accuracy	190	add
jar_adjustable_missiles__ability_phase__accuracy__+191	stat_accuracy	191	add
jar_adjustable_missiles__ability_phase__accuracy__+192	stat_accuracy	192	add
jar_adjustable_missiles__ability_phase__accuracy__+193	stat_accuracy	193	add
jar_adjustable_missiles__ability_phase__accuracy__+194	stat_accuracy	194	add
jar_adjustable_missiles__ability_phase__accuracy__+195	stat_accuracy	195	add
jar_adjustable_missiles__ability_phase__accuracy__+196	stat_accuracy	196	add
jar_adjustable_missiles__ability_phase__accuracy__+197	stat_accuracy	197	add
jar_adjustable_missiles__ability_phase__accuracy__+198	stat_accuracy	198	add
jar_adjustable_missiles__ability_phase__accuracy__+199	stat_accuracy	199	add
jar_adjustable_missiles__ability_phase__accuracy__+200	stat_accuracy	200	add
