unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
teb_muktar		1	melee_cavalry	1	false	teb_muktar	60	1	900	wh_main_shp_transport	1	1	60	900	225	medium		0	true	wh_main_vo_culture_Empire	cavalry	2	false	emp_reiksguard		false		1050.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	true
teb_amazons		1	melee_infantry	1	false	teb_amazons	120	1	900	wh_main_shp_transport	1	1	140	900	225	medium		0	true	vo_culture_None	wh2_main_infantry_dual_swords	2	false	emp_soldier_15_degrees		false		900.0000	0.0000	false	vo_culture_None	true	wh_vo_actor_silent	0	true	false	1	false	false		0.0000	true	1	true
teb_cursed		1	melee_infantry	1	false	teb_cursed	160	1	900	wh_main_shp_transport	1	1	160	900	225	heavy		0	true	wh_main_vo_culture_Skeleton	infantry_sword	2	false	vamp_skeleton		false		900.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_WightKing	0	false	false	1	false	false		0.0000	true	1	true
teb_origo		1	melee_infantry	1	false	teb_origo	100	1	1000	wh_main_shp_transport	1	1	100	1000	250	heavy		0	true	wh_main_vo_culture_Bretonnian	infantry_sword	3	false	emp_soldier_15_degrees		false		1000.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Knight	0	true	false	1	false	false		0.0000	true	1	true
teb_manflayers		1	melee_infantry	1	false	teb_manflayers	80	1	1600	wh_main_shp_transport	1	1	80	1600	400	medium		0	true	wh2_main_vo_culture_Dark_Elves	wh2_main_def_missile_infantry_bow_shades_great_weapons	4	false	wef_infantry_45_degrees		false		1000.0000	600.0000	false	vo_culture_None	true	wh2_main_vo_actor_Dark_Elves_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_asarnil		1	monster	1	false	teb_asarnil	1	1	3000	wh_main_shp_transport	1	1	1	3000	750	heavy		0	true	wh2_main_vo_culture_High_Elves	dragon	5	true	hef_dragon		true		3000.0000	0.0000	true	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Prince	0	true	false	0	false	false		0.0000	true	1	true
teb_tichi		1	melee_cavalry	1	false	teb_tichi	48	1	1400	wh_main_shp_transport	1	1	48	1400	350	heavy		0	true	wh2_main_vo_culture_Lizardmen	wh2_main_cold_one	3	false	liz_cold_one_riders		false		1400.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_Lizardmen_Skink_Unit	0	true	false	1	false	false		0.0000	true	1	true
teb_bronzino_limbered		1	warmachine	1	false	teb_bronzino_limbered	16	1	1200	wh_main_shp_transport	1	1	1	1200	300	medium		0	true	wh_main_vo_culture_Empire	artillery_field_gun	3	false	emp_galloper_gun_limbered		false		120.0000	1080.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	5	false	false		0.0000	true	1	true
teb_bronzino		1	warmachine	1	false	teb_bronzino	16	1	1200	wh_main_shp_transport	1	1	12	1200	300	medium		0	true	wh_main_vo_culture_Empire	artillery_field_gun	3	false	emp_soldier_15_degrees		false		120.0000	1080.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	5	false	false		0.0000	true	1	true
teb_birdmen		1	missile_infantry	1	false	teb_birdmen	32	0	800	wh_main_shp_transport	1	1	32	800	200	light		0	true	wh_main_vo_culture_Empire	flying_missile_infantry	2	false	emp_soldier_15_degrees		false		150.0000	600.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	true
