bonus_value_id	effect	unit_set_ability
enable	jar_adjustable_missiles__effect__acc__3__-94	jar_adjustable_missiles__unit_set_ability__acc__3__-94
enable	jar_adjustable_missiles__effect__acc__4__-94	jar_adjustable_missiles__unit_set_ability__acc__4__-94
enable	jar_adjustable_missiles__effect__acc__5__-94	jar_adjustable_missiles__unit_set_ability__acc__5__-94
enable	jar_adjustable_missiles__effect__acc__0__-93	jar_adjustable_missiles__unit_set_ability__acc__0__-93
enable	jar_adjustable_missiles__effect__acc__1__-93	jar_adjustable_missiles__unit_set_ability__acc__1__-93
enable	jar_adjustable_missiles__effect__acc__2__-93	jar_adjustable_missiles__unit_set_ability__acc__2__-93
enable	jar_adjustable_missiles__effect__acc__3__-93	jar_adjustable_missiles__unit_set_ability__acc__3__-93
enable	jar_adjustable_missiles__effect__acc__4__-93	jar_adjustable_missiles__unit_set_ability__acc__4__-93
enable	jar_adjustable_missiles__effect__acc__5__-93	jar_adjustable_missiles__unit_set_ability__acc__5__-93
enable	jar_adjustable_missiles__effect__acc__0__-92	jar_adjustable_missiles__unit_set_ability__acc__0__-92
enable	jar_adjustable_missiles__effect__acc__1__-92	jar_adjustable_missiles__unit_set_ability__acc__1__-92
enable	jar_adjustable_missiles__effect__acc__2__-92	jar_adjustable_missiles__unit_set_ability__acc__2__-92
enable	jar_adjustable_missiles__effect__acc__3__-92	jar_adjustable_missiles__unit_set_ability__acc__3__-92
enable	jar_adjustable_missiles__effect__acc__4__-92	jar_adjustable_missiles__unit_set_ability__acc__4__-92
enable	jar_adjustable_missiles__effect__acc__5__-92	jar_adjustable_missiles__unit_set_ability__acc__5__-92
enable	jar_adjustable_missiles__effect__acc__0__-91	jar_adjustable_missiles__unit_set_ability__acc__0__-91
enable	jar_adjustable_missiles__effect__acc__1__-91	jar_adjustable_missiles__unit_set_ability__acc__1__-91
enable	jar_adjustable_missiles__effect__acc__2__-91	jar_adjustable_missiles__unit_set_ability__acc__2__-91
enable	jar_adjustable_missiles__effect__acc__3__-91	jar_adjustable_missiles__unit_set_ability__acc__3__-91
enable	jar_adjustable_missiles__effect__acc__4__-91	jar_adjustable_missiles__unit_set_ability__acc__4__-91
enable	jar_adjustable_missiles__effect__acc__5__-91	jar_adjustable_missiles__unit_set_ability__acc__5__-91
enable	jar_adjustable_missiles__effect__acc__0__-90	jar_adjustable_missiles__unit_set_ability__acc__0__-90
enable	jar_adjustable_missiles__effect__acc__1__-90	jar_adjustable_missiles__unit_set_ability__acc__1__-90
enable	jar_adjustable_missiles__effect__acc__2__-90	jar_adjustable_missiles__unit_set_ability__acc__2__-90
enable	jar_adjustable_missiles__effect__acc__3__-90	jar_adjustable_missiles__unit_set_ability__acc__3__-90
enable	jar_adjustable_missiles__effect__acc__4__-90	jar_adjustable_missiles__unit_set_ability__acc__4__-90
enable	jar_adjustable_missiles__effect__acc__5__-90	jar_adjustable_missiles__unit_set_ability__acc__5__-90
enable	jar_adjustable_missiles__effect__acc__0__-89	jar_adjustable_missiles__unit_set_ability__acc__0__-89
enable	jar_adjustable_missiles__effect__acc__1__-89	jar_adjustable_missiles__unit_set_ability__acc__1__-89
enable	jar_adjustable_missiles__effect__acc__2__-89	jar_adjustable_missiles__unit_set_ability__acc__2__-89
enable	jar_adjustable_missiles__effect__acc__3__-89	jar_adjustable_missiles__unit_set_ability__acc__3__-89
enable	jar_adjustable_missiles__effect__acc__4__-89	jar_adjustable_missiles__unit_set_ability__acc__4__-89
enable	jar_adjustable_missiles__effect__acc__5__-89	jar_adjustable_missiles__unit_set_ability__acc__5__-89
enable	jar_adjustable_missiles__effect__acc__0__-88	jar_adjustable_missiles__unit_set_ability__acc__0__-88
enable	jar_adjustable_missiles__effect__acc__1__-88	jar_adjustable_missiles__unit_set_ability__acc__1__-88
enable	jar_adjustable_missiles__effect__acc__2__-88	jar_adjustable_missiles__unit_set_ability__acc__2__-88
enable	jar_adjustable_missiles__effect__acc__3__-88	jar_adjustable_missiles__unit_set_ability__acc__3__-88
enable	jar_adjustable_missiles__effect__acc__4__-88	jar_adjustable_missiles__unit_set_ability__acc__4__-88
enable	jar_adjustable_missiles__effect__acc__5__-88	jar_adjustable_missiles__unit_set_ability__acc__5__-88
enable	jar_adjustable_missiles__effect__acc__0__-87	jar_adjustable_missiles__unit_set_ability__acc__0__-87
enable	jar_adjustable_missiles__effect__acc__1__-87	jar_adjustable_missiles__unit_set_ability__acc__1__-87
enable	jar_adjustable_missiles__effect__acc__2__-87	jar_adjustable_missiles__unit_set_ability__acc__2__-87
enable	jar_adjustable_missiles__effect__acc__3__-87	jar_adjustable_missiles__unit_set_ability__acc__3__-87
enable	jar_adjustable_missiles__effect__acc__4__-87	jar_adjustable_missiles__unit_set_ability__acc__4__-87
enable	jar_adjustable_missiles__effect__acc__5__-87	jar_adjustable_missiles__unit_set_ability__acc__5__-87
enable	jar_adjustable_missiles__effect__acc__0__-86	jar_adjustable_missiles__unit_set_ability__acc__0__-86
enable	jar_adjustable_missiles__effect__acc__1__-86	jar_adjustable_missiles__unit_set_ability__acc__1__-86
enable	jar_adjustable_missiles__effect__acc__2__-86	jar_adjustable_missiles__unit_set_ability__acc__2__-86
enable	jar_adjustable_missiles__effect__acc__3__-86	jar_adjustable_missiles__unit_set_ability__acc__3__-86
enable	jar_adjustable_missiles__effect__acc__4__-86	jar_adjustable_missiles__unit_set_ability__acc__4__-86
enable	jar_adjustable_missiles__effect__acc__5__-86	jar_adjustable_missiles__unit_set_ability__acc__5__-86
enable	jar_adjustable_missiles__effect__acc__0__-85	jar_adjustable_missiles__unit_set_ability__acc__0__-85
enable	jar_adjustable_missiles__effect__acc__1__-85	jar_adjustable_missiles__unit_set_ability__acc__1__-85
enable	jar_adjustable_missiles__effect__acc__2__-85	jar_adjustable_missiles__unit_set_ability__acc__2__-85
enable	jar_adjustable_missiles__effect__acc__3__-85	jar_adjustable_missiles__unit_set_ability__acc__3__-85
enable	jar_adjustable_missiles__effect__acc__4__-85	jar_adjustable_missiles__unit_set_ability__acc__4__-85
enable	jar_adjustable_missiles__effect__acc__5__-85	jar_adjustable_missiles__unit_set_ability__acc__5__-85
enable	jar_adjustable_missiles__effect__acc__0__-84	jar_adjustable_missiles__unit_set_ability__acc__0__-84
enable	jar_adjustable_missiles__effect__acc__1__-84	jar_adjustable_missiles__unit_set_ability__acc__1__-84
enable	jar_adjustable_missiles__effect__acc__2__-84	jar_adjustable_missiles__unit_set_ability__acc__2__-84
enable	jar_adjustable_missiles__effect__acc__3__-84	jar_adjustable_missiles__unit_set_ability__acc__3__-84
enable	jar_adjustable_missiles__effect__acc__4__-84	jar_adjustable_missiles__unit_set_ability__acc__4__-84
enable	jar_adjustable_missiles__effect__acc__5__-84	jar_adjustable_missiles__unit_set_ability__acc__5__-84
enable	jar_adjustable_missiles__effect__acc__0__-83	jar_adjustable_missiles__unit_set_ability__acc__0__-83
enable	jar_adjustable_missiles__effect__acc__1__-83	jar_adjustable_missiles__unit_set_ability__acc__1__-83
enable	jar_adjustable_missiles__effect__acc__2__-83	jar_adjustable_missiles__unit_set_ability__acc__2__-83
enable	jar_adjustable_missiles__effect__acc__3__-83	jar_adjustable_missiles__unit_set_ability__acc__3__-83
enable	jar_adjustable_missiles__effect__acc__4__-83	jar_adjustable_missiles__unit_set_ability__acc__4__-83
enable	jar_adjustable_missiles__effect__acc__5__-83	jar_adjustable_missiles__unit_set_ability__acc__5__-83
enable	jar_adjustable_missiles__effect__acc__0__-82	jar_adjustable_missiles__unit_set_ability__acc__0__-82
enable	jar_adjustable_missiles__effect__acc__1__-82	jar_adjustable_missiles__unit_set_ability__acc__1__-82
enable	jar_adjustable_missiles__effect__acc__2__-82	jar_adjustable_missiles__unit_set_ability__acc__2__-82
enable	jar_adjustable_missiles__effect__acc__3__-82	jar_adjustable_missiles__unit_set_ability__acc__3__-82
enable	jar_adjustable_missiles__effect__acc__4__-82	jar_adjustable_missiles__unit_set_ability__acc__4__-82
enable	jar_adjustable_missiles__effect__acc__5__-82	jar_adjustable_missiles__unit_set_ability__acc__5__-82
enable	jar_adjustable_missiles__effect__acc__0__-81	jar_adjustable_missiles__unit_set_ability__acc__0__-81
enable	jar_adjustable_missiles__effect__acc__1__-81	jar_adjustable_missiles__unit_set_ability__acc__1__-81
enable	jar_adjustable_missiles__effect__acc__2__-81	jar_adjustable_missiles__unit_set_ability__acc__2__-81
enable	jar_adjustable_missiles__effect__acc__3__-81	jar_adjustable_missiles__unit_set_ability__acc__3__-81
enable	jar_adjustable_missiles__effect__acc__4__-81	jar_adjustable_missiles__unit_set_ability__acc__4__-81
enable	jar_adjustable_missiles__effect__acc__5__-81	jar_adjustable_missiles__unit_set_ability__acc__5__-81
enable	jar_adjustable_missiles__effect__acc__0__-80	jar_adjustable_missiles__unit_set_ability__acc__0__-80
enable	jar_adjustable_missiles__effect__acc__1__-80	jar_adjustable_missiles__unit_set_ability__acc__1__-80
enable	jar_adjustable_missiles__effect__acc__2__-80	jar_adjustable_missiles__unit_set_ability__acc__2__-80
enable	jar_adjustable_missiles__effect__acc__3__-80	jar_adjustable_missiles__unit_set_ability__acc__3__-80
enable	jar_adjustable_missiles__effect__acc__4__-80	jar_adjustable_missiles__unit_set_ability__acc__4__-80
enable	jar_adjustable_missiles__effect__acc__5__-80	jar_adjustable_missiles__unit_set_ability__acc__5__-80
enable	jar_adjustable_missiles__effect__acc__0__-79	jar_adjustable_missiles__unit_set_ability__acc__0__-79
enable	jar_adjustable_missiles__effect__acc__1__-79	jar_adjustable_missiles__unit_set_ability__acc__1__-79
enable	jar_adjustable_missiles__effect__acc__2__-79	jar_adjustable_missiles__unit_set_ability__acc__2__-79
enable	jar_adjustable_missiles__effect__acc__3__-79	jar_adjustable_missiles__unit_set_ability__acc__3__-79
enable	jar_adjustable_missiles__effect__acc__4__-79	jar_adjustable_missiles__unit_set_ability__acc__4__-79
enable	jar_adjustable_missiles__effect__acc__5__-79	jar_adjustable_missiles__unit_set_ability__acc__5__-79
enable	jar_adjustable_missiles__effect__acc__0__-78	jar_adjustable_missiles__unit_set_ability__acc__0__-78
enable	jar_adjustable_missiles__effect__acc__1__-78	jar_adjustable_missiles__unit_set_ability__acc__1__-78
enable	jar_adjustable_missiles__effect__acc__2__-78	jar_adjustable_missiles__unit_set_ability__acc__2__-78
enable	jar_adjustable_missiles__effect__acc__3__-78	jar_adjustable_missiles__unit_set_ability__acc__3__-78
enable	jar_adjustable_missiles__effect__acc__4__-78	jar_adjustable_missiles__unit_set_ability__acc__4__-78
enable	jar_adjustable_missiles__effect__acc__5__-78	jar_adjustable_missiles__unit_set_ability__acc__5__-78
enable	jar_adjustable_missiles__effect__acc__0__-77	jar_adjustable_missiles__unit_set_ability__acc__0__-77
enable	jar_adjustable_missiles__effect__acc__1__-77	jar_adjustable_missiles__unit_set_ability__acc__1__-77
enable	jar_adjustable_missiles__effect__acc__2__-77	jar_adjustable_missiles__unit_set_ability__acc__2__-77
enable	jar_adjustable_missiles__effect__acc__3__-77	jar_adjustable_missiles__unit_set_ability__acc__3__-77
enable	jar_adjustable_missiles__effect__acc__4__-77	jar_adjustable_missiles__unit_set_ability__acc__4__-77
enable	jar_adjustable_missiles__effect__acc__5__-77	jar_adjustable_missiles__unit_set_ability__acc__5__-77
enable	jar_adjustable_missiles__effect__acc__0__-76	jar_adjustable_missiles__unit_set_ability__acc__0__-76
enable	jar_adjustable_missiles__effect__acc__1__-76	jar_adjustable_missiles__unit_set_ability__acc__1__-76
enable	jar_adjustable_missiles__effect__acc__2__-76	jar_adjustable_missiles__unit_set_ability__acc__2__-76
enable	jar_adjustable_missiles__effect__acc__3__-76	jar_adjustable_missiles__unit_set_ability__acc__3__-76
enable	jar_adjustable_missiles__effect__acc__4__-76	jar_adjustable_missiles__unit_set_ability__acc__4__-76
enable	jar_adjustable_missiles__effect__acc__5__-76	jar_adjustable_missiles__unit_set_ability__acc__5__-76
enable	jar_adjustable_missiles__effect__acc__0__-75	jar_adjustable_missiles__unit_set_ability__acc__0__-75
enable	jar_adjustable_missiles__effect__acc__1__-75	jar_adjustable_missiles__unit_set_ability__acc__1__-75
enable	jar_adjustable_missiles__effect__acc__2__-75	jar_adjustable_missiles__unit_set_ability__acc__2__-75
enable	jar_adjustable_missiles__effect__acc__3__-75	jar_adjustable_missiles__unit_set_ability__acc__3__-75
enable	jar_adjustable_missiles__effect__acc__4__-75	jar_adjustable_missiles__unit_set_ability__acc__4__-75
enable	jar_adjustable_missiles__effect__acc__5__-75	jar_adjustable_missiles__unit_set_ability__acc__5__-75
enable	jar_adjustable_missiles__effect__acc__0__-74	jar_adjustable_missiles__unit_set_ability__acc__0__-74
enable	jar_adjustable_missiles__effect__acc__1__-74	jar_adjustable_missiles__unit_set_ability__acc__1__-74
enable	jar_adjustable_missiles__effect__acc__2__-74	jar_adjustable_missiles__unit_set_ability__acc__2__-74
enable	jar_adjustable_missiles__effect__acc__3__-74	jar_adjustable_missiles__unit_set_ability__acc__3__-74
enable	jar_adjustable_missiles__effect__acc__4__-74	jar_adjustable_missiles__unit_set_ability__acc__4__-74
enable	jar_adjustable_missiles__effect__acc__5__-74	jar_adjustable_missiles__unit_set_ability__acc__5__-74
enable	jar_adjustable_missiles__effect__acc__0__-73	jar_adjustable_missiles__unit_set_ability__acc__0__-73
enable	jar_adjustable_missiles__effect__acc__1__-73	jar_adjustable_missiles__unit_set_ability__acc__1__-73
enable	jar_adjustable_missiles__effect__acc__2__-73	jar_adjustable_missiles__unit_set_ability__acc__2__-73
enable	jar_adjustable_missiles__effect__acc__3__-73	jar_adjustable_missiles__unit_set_ability__acc__3__-73
enable	jar_adjustable_missiles__effect__acc__4__-73	jar_adjustable_missiles__unit_set_ability__acc__4__-73
enable	jar_adjustable_missiles__effect__acc__5__-73	jar_adjustable_missiles__unit_set_ability__acc__5__-73
enable	jar_adjustable_missiles__effect__acc__0__-72	jar_adjustable_missiles__unit_set_ability__acc__0__-72
enable	jar_adjustable_missiles__effect__acc__1__-72	jar_adjustable_missiles__unit_set_ability__acc__1__-72
enable	jar_adjustable_missiles__effect__acc__2__-72	jar_adjustable_missiles__unit_set_ability__acc__2__-72
enable	jar_adjustable_missiles__effect__acc__3__-72	jar_adjustable_missiles__unit_set_ability__acc__3__-72
enable	jar_adjustable_missiles__effect__acc__4__-72	jar_adjustable_missiles__unit_set_ability__acc__4__-72
enable	jar_adjustable_missiles__effect__acc__5__-72	jar_adjustable_missiles__unit_set_ability__acc__5__-72
enable	jar_adjustable_missiles__effect__acc__0__-71	jar_adjustable_missiles__unit_set_ability__acc__0__-71
enable	jar_adjustable_missiles__effect__acc__1__-71	jar_adjustable_missiles__unit_set_ability__acc__1__-71
enable	jar_adjustable_missiles__effect__acc__2__-71	jar_adjustable_missiles__unit_set_ability__acc__2__-71
enable	jar_adjustable_missiles__effect__acc__3__-71	jar_adjustable_missiles__unit_set_ability__acc__3__-71
enable	jar_adjustable_missiles__effect__acc__4__-71	jar_adjustable_missiles__unit_set_ability__acc__4__-71
enable	jar_adjustable_missiles__effect__acc__5__-71	jar_adjustable_missiles__unit_set_ability__acc__5__-71
enable	jar_adjustable_missiles__effect__acc__0__-70	jar_adjustable_missiles__unit_set_ability__acc__0__-70
enable	jar_adjustable_missiles__effect__acc__1__-70	jar_adjustable_missiles__unit_set_ability__acc__1__-70
enable	jar_adjustable_missiles__effect__acc__2__-70	jar_adjustable_missiles__unit_set_ability__acc__2__-70
enable	jar_adjustable_missiles__effect__acc__3__-70	jar_adjustable_missiles__unit_set_ability__acc__3__-70
enable	jar_adjustable_missiles__effect__acc__4__-70	jar_adjustable_missiles__unit_set_ability__acc__4__-70
enable	jar_adjustable_missiles__effect__acc__5__-70	jar_adjustable_missiles__unit_set_ability__acc__5__-70
enable	jar_adjustable_missiles__effect__acc__0__-69	jar_adjustable_missiles__unit_set_ability__acc__0__-69
enable	jar_adjustable_missiles__effect__acc__1__-69	jar_adjustable_missiles__unit_set_ability__acc__1__-69
enable	jar_adjustable_missiles__effect__acc__2__-69	jar_adjustable_missiles__unit_set_ability__acc__2__-69
enable	jar_adjustable_missiles__effect__acc__3__-69	jar_adjustable_missiles__unit_set_ability__acc__3__-69
enable	jar_adjustable_missiles__effect__acc__4__-69	jar_adjustable_missiles__unit_set_ability__acc__4__-69
enable	jar_adjustable_missiles__effect__acc__5__-69	jar_adjustable_missiles__unit_set_ability__acc__5__-69
enable	jar_adjustable_missiles__effect__acc__0__-68	jar_adjustable_missiles__unit_set_ability__acc__0__-68
enable	jar_adjustable_missiles__effect__acc__1__-68	jar_adjustable_missiles__unit_set_ability__acc__1__-68
enable	jar_adjustable_missiles__effect__acc__2__-68	jar_adjustable_missiles__unit_set_ability__acc__2__-68
enable	jar_adjustable_missiles__effect__acc__3__-68	jar_adjustable_missiles__unit_set_ability__acc__3__-68
enable	jar_adjustable_missiles__effect__acc__4__-68	jar_adjustable_missiles__unit_set_ability__acc__4__-68
enable	jar_adjustable_missiles__effect__acc__5__-68	jar_adjustable_missiles__unit_set_ability__acc__5__-68
enable	jar_adjustable_missiles__effect__acc__0__-67	jar_adjustable_missiles__unit_set_ability__acc__0__-67
enable	jar_adjustable_missiles__effect__acc__1__-67	jar_adjustable_missiles__unit_set_ability__acc__1__-67
enable	jar_adjustable_missiles__effect__acc__2__-67	jar_adjustable_missiles__unit_set_ability__acc__2__-67
enable	jar_adjustable_missiles__effect__acc__3__-67	jar_adjustable_missiles__unit_set_ability__acc__3__-67
enable	jar_adjustable_missiles__effect__acc__4__-67	jar_adjustable_missiles__unit_set_ability__acc__4__-67
enable	jar_adjustable_missiles__effect__acc__5__-67	jar_adjustable_missiles__unit_set_ability__acc__5__-67
enable	jar_adjustable_missiles__effect__acc__0__-66	jar_adjustable_missiles__unit_set_ability__acc__0__-66
enable	jar_adjustable_missiles__effect__acc__1__-66	jar_adjustable_missiles__unit_set_ability__acc__1__-66
enable	jar_adjustable_missiles__effect__acc__2__-66	jar_adjustable_missiles__unit_set_ability__acc__2__-66
enable	jar_adjustable_missiles__effect__acc__3__-66	jar_adjustable_missiles__unit_set_ability__acc__3__-66
enable	jar_adjustable_missiles__effect__acc__4__-66	jar_adjustable_missiles__unit_set_ability__acc__4__-66
enable	jar_adjustable_missiles__effect__acc__5__-66	jar_adjustable_missiles__unit_set_ability__acc__5__-66
enable	jar_adjustable_missiles__effect__acc__0__-65	jar_adjustable_missiles__unit_set_ability__acc__0__-65
enable	jar_adjustable_missiles__effect__acc__1__-65	jar_adjustable_missiles__unit_set_ability__acc__1__-65
enable	jar_adjustable_missiles__effect__acc__2__-65	jar_adjustable_missiles__unit_set_ability__acc__2__-65
enable	jar_adjustable_missiles__effect__acc__3__-65	jar_adjustable_missiles__unit_set_ability__acc__3__-65
enable	jar_adjustable_missiles__effect__acc__4__-65	jar_adjustable_missiles__unit_set_ability__acc__4__-65
enable	jar_adjustable_missiles__effect__acc__5__-65	jar_adjustable_missiles__unit_set_ability__acc__5__-65
enable	jar_adjustable_missiles__effect__acc__0__-64	jar_adjustable_missiles__unit_set_ability__acc__0__-64
enable	jar_adjustable_missiles__effect__acc__1__-64	jar_adjustable_missiles__unit_set_ability__acc__1__-64
enable	jar_adjustable_missiles__effect__acc__2__-64	jar_adjustable_missiles__unit_set_ability__acc__2__-64
enable	jar_adjustable_missiles__effect__acc__3__-64	jar_adjustable_missiles__unit_set_ability__acc__3__-64
enable	jar_adjustable_missiles__effect__acc__4__-64	jar_adjustable_missiles__unit_set_ability__acc__4__-64
enable	jar_adjustable_missiles__effect__acc__5__-64	jar_adjustable_missiles__unit_set_ability__acc__5__-64
enable	jar_adjustable_missiles__effect__acc__0__-63	jar_adjustable_missiles__unit_set_ability__acc__0__-63
enable	jar_adjustable_missiles__effect__acc__1__-63	jar_adjustable_missiles__unit_set_ability__acc__1__-63
enable	jar_adjustable_missiles__effect__acc__2__-63	jar_adjustable_missiles__unit_set_ability__acc__2__-63
enable	jar_adjustable_missiles__effect__acc__3__-63	jar_adjustable_missiles__unit_set_ability__acc__3__-63
enable	jar_adjustable_missiles__effect__acc__4__-63	jar_adjustable_missiles__unit_set_ability__acc__4__-63
enable	jar_adjustable_missiles__effect__acc__5__-63	jar_adjustable_missiles__unit_set_ability__acc__5__-63
enable	jar_adjustable_missiles__effect__acc__0__-62	jar_adjustable_missiles__unit_set_ability__acc__0__-62
enable	jar_adjustable_missiles__effect__acc__1__-62	jar_adjustable_missiles__unit_set_ability__acc__1__-62
enable	jar_adjustable_missiles__effect__acc__2__-62	jar_adjustable_missiles__unit_set_ability__acc__2__-62
enable	jar_adjustable_missiles__effect__acc__3__-62	jar_adjustable_missiles__unit_set_ability__acc__3__-62
enable	jar_adjustable_missiles__effect__acc__4__-62	jar_adjustable_missiles__unit_set_ability__acc__4__-62
enable	jar_adjustable_missiles__effect__acc__5__-62	jar_adjustable_missiles__unit_set_ability__acc__5__-62
enable	jar_adjustable_missiles__effect__acc__0__-61	jar_adjustable_missiles__unit_set_ability__acc__0__-61
enable	jar_adjustable_missiles__effect__acc__1__-61	jar_adjustable_missiles__unit_set_ability__acc__1__-61
enable	jar_adjustable_missiles__effect__acc__2__-61	jar_adjustable_missiles__unit_set_ability__acc__2__-61
enable	jar_adjustable_missiles__effect__acc__3__-61	jar_adjustable_missiles__unit_set_ability__acc__3__-61
enable	jar_adjustable_missiles__effect__acc__4__-61	jar_adjustable_missiles__unit_set_ability__acc__4__-61
enable	jar_adjustable_missiles__effect__acc__5__-61	jar_adjustable_missiles__unit_set_ability__acc__5__-61
enable	jar_adjustable_missiles__effect__acc__0__-60	jar_adjustable_missiles__unit_set_ability__acc__0__-60
enable	jar_adjustable_missiles__effect__acc__1__-60	jar_adjustable_missiles__unit_set_ability__acc__1__-60
enable	jar_adjustable_missiles__effect__acc__2__-60	jar_adjustable_missiles__unit_set_ability__acc__2__-60
enable	jar_adjustable_missiles__effect__acc__3__-60	jar_adjustable_missiles__unit_set_ability__acc__3__-60
enable	jar_adjustable_missiles__effect__acc__4__-60	jar_adjustable_missiles__unit_set_ability__acc__4__-60
enable	jar_adjustable_missiles__effect__acc__5__-60	jar_adjustable_missiles__unit_set_ability__acc__5__-60
enable	jar_adjustable_missiles__effect__acc__0__-59	jar_adjustable_missiles__unit_set_ability__acc__0__-59
enable	jar_adjustable_missiles__effect__acc__1__-59	jar_adjustable_missiles__unit_set_ability__acc__1__-59
enable	jar_adjustable_missiles__effect__acc__2__-59	jar_adjustable_missiles__unit_set_ability__acc__2__-59
enable	jar_adjustable_missiles__effect__acc__3__-59	jar_adjustable_missiles__unit_set_ability__acc__3__-59
enable	jar_adjustable_missiles__effect__acc__4__-59	jar_adjustable_missiles__unit_set_ability__acc__4__-59
enable	jar_adjustable_missiles__effect__acc__5__-59	jar_adjustable_missiles__unit_set_ability__acc__5__-59
enable	jar_adjustable_missiles__effect__acc__0__-58	jar_adjustable_missiles__unit_set_ability__acc__0__-58
enable	jar_adjustable_missiles__effect__acc__1__-58	jar_adjustable_missiles__unit_set_ability__acc__1__-58
enable	jar_adjustable_missiles__effect__acc__2__-58	jar_adjustable_missiles__unit_set_ability__acc__2__-58
enable	jar_adjustable_missiles__effect__acc__3__-58	jar_adjustable_missiles__unit_set_ability__acc__3__-58
enable	jar_adjustable_missiles__effect__acc__4__-58	jar_adjustable_missiles__unit_set_ability__acc__4__-58
