bonus_value_id	effect	unit_set
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_global	jar_ac_unit_set_global
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_characters	jar_ac_unit_set_characters
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_characters	jar_ac_unit_set_characters
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_characters	jar_ac_unit_set_characters
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_characters	jar_ac_unit_set_characters
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_characters	jar_ac_unit_set_characters
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_characters	jar_ac_unit_set_characters
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_characters	jar_ac_unit_set_characters
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_characters	jar_ac_unit_set_characters
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_characters	jar_ac_unit_set_characters
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_characters	jar_ac_unit_set_characters
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_characters	jar_ac_unit_set_characters
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_single_entities	jar_ac_unit_set_single_entities
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_cavalry	jar_ac_unit_set_cavalry
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_chariots_war_machines	jar_ac_unit_set_chariots_war_machines
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_infantry	jar_ac_unit_set_infantry
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_monstrous_infantry	jar_ac_unit_set_monstrous_infantry
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_war_beasts	jar_ac_unit_set_war_beasts
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
